"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"IRDMB","Iridium Communications Inc","305","$152.5M","n/a","Consumer Durables","Telecommunications Equipment","http://www.nasdaq.com/symbol/irdmb",
"IRBT","iRobot Corporation","31.42","$933.93M","2005","Consumer Durables","Consumer Electronics/Appliances","http://www.nasdaq.com/symbol/irbt",
"IRWD","Ironwood Pharmaceuticals, Inc.","11.29","$1.6B","2010","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/irwd",
"IRCP","IRSA Propiedades Comerciales S.A.","31.5","$992.36M","n/a","Consumer Services","Building operators","http://www.nasdaq.com/symbol/ircp",
"COMT","iShares Commodities Select Strategy ETF","36.49","$284.62M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/comt",
"GNMA","iShares Core GNMA Bond ETF","50.1199","$60.14M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gnma",
"FCHI","iShares FTSE China (HK Listed) Index Fund","53.88","$32.33M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/fchi",
"IFAS","iShares FTSE EPRA/NAREIT Asia Index Fund","30.05","$18.03M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ifas",
"IFEU","iShares FTSE EPRA/NAREIT Europe Index Fund","38.79","$65.94M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ifeu",
"IFGL","iShares FTSE EPRA/NAREIT Global Real Estate ex-U.S. Index Fund","30.25","$949.85M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ifgl",
"IFNA","iShares FTSE EPRA/NAREIT North America Index Fund","55.3","$22.12M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ifna",
"ACWX","iShares MSCI ACWI ex US Index Fund","44.66","$1.99B","n/a","n/a","n/a","http://www.nasdaq.com/symbol/acwx",
"ACWI","iShares MSCI ACWI Index Fund","60.65","$6.45B","n/a","n/a","n/a","http://www.nasdaq.com/symbol/acwi",
"AAXJ","iShares MSCI All Country Asia ex Japan Index Fund","61.3","$3.89B","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aaxj",
"AXJS","iShares MSCI All Country Asia ex Japan Small Cap Index Fund","57.87","$5.79M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/axjs",
"AAIT","iShares MSCI All Country Asia Information Technology Index Fun","33.8","$6.76M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aait",
"EEMA","iShares MSCI Emerging Markets Asia Index Fund","57.86","$159.12M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/eema",
"EMDI","iShares MSCI Emerging Markets Consumer Discrectionary Sector I","49.9","$4.99M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/emdi",
"EEME","iShares MSCI Emerging Markets EMEA Index Fund","42.5","$8.5M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/eeme",
"EMEY","iShares MSCI Emerging Markets Energy Sector Capped Index Fund","27.77","$1.39M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/emey",
"EGRW","iShares MSCI Emerging Markets Growth Index Fund","52.46","$5.25M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/egrw",
"EEML","iShares MSCI Emerging Markets Latin America Index Fund","32.749","$9.82M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/eeml",
"EVAL","iShares MSCI Emerging Markets Value Index Fund","40.69","$20.35M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/eval",
"EUFN","iShares MSCI Europe Financials Sector Index Fund","23.78","$442.31M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/eufn",
"IEUS","iShares MSCI Europe Small-Cap ETF","47.63","$40.49M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ieus",
"QAT","iShares MSCI Qatar Capped ETF","22.16","$48.75M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/qat",
"UAE","iShares MSCI UAE Capped ETF","20.6","$33.99M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/uae",
"IBB","iShares Nasdaq Biotechnology Index Fund","395.49","$9.75B","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ibb",
"SOXX","iShares PHLX SOX Semiconductor Sector Index Fund","89.66","$443.82M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/soxx",
"EMIF","iShares S&P Emerging Markets Infrastructure Index Fund","32.79","$63.94M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/emif",
"ICLN","iShares S&P Global Clean Energy Index Fund","10.9","$82.84M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/icln",
"WOOD","iShares S&P Global Timber & Forestry Index Fund","51.81","$282.88M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/wood",
"INDY","iShares S&P India Nifty 50 Index Fund","30.7","$973.19M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/indy",
"ISHG","iShares S&P/Citigroup 1-3 Year International Treasury Bond Fun","78.3157","$144.88M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ishg",
"IGOV","iShares S&P/Citigroup International Treasury Bond Fund","88.95","$449.2M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/igov",
"ISIS","Isis Pharmaceuticals, Inc.","56.18","$6.73B","1991","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/isis",
"ISLE","Isle of Capri Casinos, Inc.","19.17","$778.31M","n/a","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/isle",
"ISRL","Isramco, Inc.","141","$383.19M","1983","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/isrl",
"ITRI","Itron, Inc.","30.63","$1.18B","1993","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/itri",
"ITRN","Ituran Location and Control Ltd.","25.176","$591.02M","2005","Consumer Non-Durables","Electronic Components","http://www.nasdaq.com/symbol/itrn",
"ITUS","ITUS Corporation","5.85","$51.23M","n/a","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/itus",
"XXIA","Ixia","12.71","$1.01B","2000","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/xxia",
"IXYS","IXYS Corporation","14.19","$449.87M","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/ixys",
"JJSF","J & J Snack Foods Corp.","112.13","$2.1B","1986","Consumer Non-Durables","Specialty Foods","http://www.nasdaq.com/symbol/jjsf",
"MAYS","J. W. Mays, Inc.","56.28","$113.45M","n/a","Consumer Services","Building operators","http://www.nasdaq.com/symbol/mays",
"JBHT","J.B. Hunt Transport Services, Inc.","84.31","$9.83B","n/a","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/jbht",
"JCOM","j2 Global, Inc.","69.43","$3.35B","1999","Technology","Telecommunications Equipment","http://www.nasdaq.com/symbol/jcom",
"JASO","JA Solar Holdings, Co., Ltd.","7.51","$378.96M","2007","Technology","Semiconductors","http://www.nasdaq.com/symbol/jaso",
"JKHY","Jack Henry & Associates, Inc.","68.91","$5.58B","1985","Technology","EDP Services","http://www.nasdaq.com/symbol/jkhy",
"JACK","Jack In The Box Inc.","92.78","$3.47B","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/jack",
"JXSB","Jacksonville Bancorp Inc.","24.38","$44.03M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/jxsb",
"JAXB","Jacksonville Bancorp, Inc.","12.27","$71.12M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/jaxb",
"JAGX","Jaguar Animal Health, Inc.","4.29","$34.83M","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/jagx",
"JAKK","JAKKS Pacific, Inc.","9","$210.65M","1996","Consumer Non-Durables","Recreational Products/Toys","http://www.nasdaq.com/symbol/jakk",
"JMBA","Jamba, Inc.","15.64","$250.21M","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/jmba",
"JRVR","James River Group Holdings, Ltd.","27.44","$783.15M","2014","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/jrvr",
"ERW","Janus Equal Risk Weighted Large Cap ETF","52.66","$28.96M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/erw",
"JASN","Jason Industries, Inc.","6.42","$141.18M","2013","Consumer Durables","Miscellaneous manufacturing industries","http://www.nasdaq.com/symbol/jasn",
"JASNW","Jason Industries, Inc.","0.45","n/a","2013","Consumer Durables","Miscellaneous manufacturing industries","http://www.nasdaq.com/symbol/jasnw",
"JAZZ","Jazz Pharmaceuticals plc","184.1","$11.24B","2007","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/jazz",
